,Unnamed: 0,Tên,Hối đoái,Lĩnh vực,Ngành,Vốn Hoá Thị Trường
63,HHS,Hoàng Huy,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Ô Tô & Phụ Tùng Ô Tô,"5,64 NT ₫"
64,TVN,Thép Việt Nam,HNX,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"5,09 NT ₫"
65,TLG,Thiên Long,HOSE,Các Ngành Công Nghiệp,Dịch Vụ Chuyên Môn & Thương Mại,"4,72 NT ₫"
66,CHP,Thủy điện miền Trung,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"4,64 NT ₫"
67,HDC,Phát triển nhà Bà Rịa-Vũng Tàu,HOSE,Bất Động Sản,Hoạt động bất động sản,"4,55 NT ₫"
68,TBD,Thiết bị Điện Đông Anh,HNX,Các Ngành Công Nghiệp,"Máy Móc, Công Cụ, Xe Tải Hạng Nặng, Tàu Hỏa & Tàu Thủy","4,5 NT ₫"
69,TMP,Thủy điện Thác Mơ,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"4,23 NT ₫"
70,SAS,Sasco,HNX,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"4,08 NT ₫"
71,QCG,Quốc Cường Gia Lai,HOSE,Bất Động Sản,Hoạt động bất động sản,"3,88 NT ₫"
72,DDV,DAP - VINACHEM,HNX,Nguyên Liệu Cơ Bản,Hóa Chất,"3,7 NT ₫"
73,VC3,Nam Mê Kông,HNX,Bất Động Sản,Hoạt động bất động sản,"3,68 NT ₫"
74,STG,Kho vận Miền Nam,HOSE,Các Ngành Công Nghiệp,Dịch Vụ Vận Chuyển Hàng Hóa & Hậu Cần,"3,66 NT ₫"
75,PET,PET,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Nhà Bán Lẻ Chuyên Dụng,"3,61 NT ₫"
76,SHP,Thủy điện Miền Nam,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"3,44 NT ₫"
77,SCR,Sacomreal,HOSE,Bất Động Sản,Hoạt động bất động sản,"3,23 NT ₫"
78,DPR,Cao su Đồng Phú,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Ô Tô & Phụ Tùng Ô Tô,"3,21 NT ₫"
79,DHC,Đông Hải Bến Tre,HOSE,Nguyên Liệu Cơ Bản,Bao bì và đóng gói,"3,19 NT ₫"
80,PPC,Nhiệt điện Phả Lại,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"3,15 NT ₫"
81,DCL,Dược Cửu Long,HOSE,Y Tế,Dược Phẩm,"3,1 NT ₫"
82,AAA,Nhựa An Phát,HOSE,Nguyên Liệu Cơ Bản,Bao bì và đóng gói,"3,07 NT ₫"
83,HGM,Khoáng sản Hà Giang,HNX,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"3,02 NT ₫"
84,PTB,Phú Tài,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Hàng Gia Dụng,"2,99 NT ₫"
85,TRA,Traphaco,HOSE,Y Tế,Dược Phẩm,"2,99 NT ₫"
86,CSV,Hóa chất Cơ bản miền Nam,HOSE,Nguyên Liệu Cơ Bản,Hóa Chất,"2,97 NT ₫"
87,TCM,Dệt may Thành Công,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Dệt May,"2,97 NT ₫"
88,SAM,CTCP Sam Holdings,HOSE,Các Ngành Công Nghiệp,"Máy Móc, Công Cụ, Xe Tải Hạng Nặng, Tàu Hỏa & Tàu Thủy","2,91 NT ₫"
89,DNP,DNP Holding JSC,HNX,Hàng Tiêu Dùng Theo Chu Kỳ,Vật Tư Xây Dựng & Công Trình,"2,82 NT ₫"
90,SWC,Sowatco,HNX,Năng lượng,Khí và Dầu,"2,7 NT ₫"
91,PGS,Khí Miền Nam,HNX,Năng lượng,Khí và Dầu,"2,7 NT ₫"
92,DVP,Cảng Đình Vũ,HOSE,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"2,69 NT ₫"
93,ASM,Sao Mai,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"2,65 NT ₫"
94,ELC,Elcom Tech Communications,HOSE,Công Nghệ,Dịch Vụ Phần Mềm & CNTT,"2,63 NT ₫"
