,,,,,
Công ty,Tên,Hối đoái,Lĩnh vực,Ngành,Vốn Hoá Thị Trường
VRE,Vincom Retail,HOSE,Bất Động Sản,Hoạt động bất động sản,"72,71 NT ₫"
SSI,Chứng khoán SSI,HOSE,Tài chính,Ngân Hàng Đầu Tư & Dịch Vụ Đầu Tư,"63,83 NT ₫"
SAB,Sabeco,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Đồ Uống,"62,52 NT ₫"
BCM,Becamex,HOSE,Bất Động Sản,Hoạt động bất động sản,"61,69 NT ₫"
KSF,Sunshine JSC,HNX,Bất Động Sản,Hoạt động bất động sản,"61,64 NT ₫"
VIB,Ngân hàng VIB,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"59,91 NT ₫"
SHB,NHTM Cổ phần Sài Gòn - Hà Nội,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"50,14 NT ₫"
SSB,SeABank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"49,22 NT ₫"
TPB,TPBank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"47,02 NT ₫"
PLX,Petrolimex,HOSE,Năng lượng,Khí và Dầu,"45,17 NT ₫"
VEA,Máy động lực và nông nghiệp VN,HNX,Các Ngành Công Nghiệp,"Máy Móc, Công Cụ, Xe Tải Hạng Nặng, Tàu Hỏa & Tàu Thủy","44,65 NT ₫"
BVH,Bảo Việt,HOSE,Tài chính,Bảo Hiểm,"41,5 NT ₫"
EIB,Eximbank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"40,14 NT ₫"
GEX,Gelex,HOSE,Các Ngành Công Nghiệp,"Máy Móc, Công Cụ, Xe Tải Hạng Nặng, Tàu Hỏa & Tàu Thủy","38,58 NT ₫"
MSB,Ngân hàng MSB,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"38,38 NT ₫"
KDH,Khang Điền,HOSE,Bất Động Sản,Hoạt động bất động sản,"35,97 NT ₫"
POW,PVPower,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"35,67 NT ₫"
VIX,Chứng khoán VIX,HOSE,Tài chính,Ngân Hàng Đầu Tư & Dịch Vụ Đầu Tư,"34,92 NT ₫"
REE,TCT Cơ điện lạnh,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"33,2 NT ₫"
PNJ,Vàng bạc Đá quý Phú Nhuận,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Dệt May,"32,72 NT ₫"
OCB,Ngân hàng OCB,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"32,09 NT ₫"
KBC,Kinh Bắc,HOSE,Bất Động Sản,Hoạt động bất động sản,"31,27 NT ₫"
VND,VNDIRECT,HOSE,Tài chính,Ngân Hàng Đầu Tư & Dịch Vụ Đầu Tư,"30,45 NT ₫"
MSR,Tài nguyên Masan,HNX,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"26,38 NT ₫"
NVL,Novaland,HOSE,Bất Động Sản,Hoạt động bất động sản,"25,84 NT ₫"
VCI,Chứng khoán Bản Việt,HOSE,Tài chính,Ngân Hàng Đầu Tư & Dịch Vụ Đầu Tư,"25,72 NT ₫"
GMD,Gemadept,HOSE,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"25,38 NT ₫"
HCM,Chứng khoán HSC,HOSE,Tài chính,Ngân Hàng Đầu Tư & Dịch Vụ Đầu Tư,"24,73 NT ₫"
