,theta_mom,theta_me,theta_btm,,,,,
162,-0.026168074,-0.007054004,-0.024197188,,,,,
163,0.010839422734027535,0.02660840349853671,-0.03216849,,,,,
164,0.009921798940875382,0.002439760160857358,-0.00752336,,,,,
165,0.0030425308129072544,-0.016374334,-0.013373992,,,,,
166,-0.000581133,0.010422602420149751,0.02765641460350952,,,,,
167,0.01102046402990426,-0.014004252,0.014207787308978573,,,,,
168,0.01102046402990426,-0.014004252,0.014207787308978573,,,,,
169,0.05125601520311885,-0.030981198,-0.02867795,,,,,
170,0.040764984530598854,-0.047870284,-0.01776326,,,,,
171,0.028296406178808627,-0.04211941,-0.05874991,,,,,
172,0.028296406178808627,-0.04211941,-0.05874991,,,,,
173,0.010018109382049126,-0.053249279,-0.037847088,,,,,
174,0.08263483662241268,-0.034826732,-0.028237496,,,,,
175,0.09826331379993702,0.007749301915538541,-0.014431389,,,,,
176,0.09826331379993702,0.007749301915538541,-0.014431389,,,,,
177,0.10412577236151321,0.012501413766386811,-0.055973622,,,,,
178,0.10412577236151321,0.012501413766386811,-0.055973622,,,,,
179,0.0825634901111675,0.010039403219028213,-0.017919877,,,,,
180,0.07755674242205188,0.0004594295446729048,-0.014672006,,,,,
181,0.041000371962385804,-0.007115686,-0.041042302,,,,,
182,0.041000371962385804,-0.007115686,-0.041042302,,,,,
183,0.014225755236124907,-0.014873212,-0.068613975,,,,,
184,0.046936051569661685,-0.070746604,-0.034353417,,,,,
185,0.046773650259149986,-0.074851012,0.00979738940825138,,,,,
186,-0.00827058,-0.07990855,-0.018065478,,,,,
187,-0.004644574,-0.04625089,-0.018740039,,,,,
188,-0.004644574,-0.04625089,-0.018740039,,,,,
189,-0.004644574,-0.04625089,-0.018740039,,,,,
190,0.0167202959055871,-0.047336443,-0.021993523,,,,,
191,0.05876752443904433,-0.084471696,-0.033725564,,,,,
192,0.05876752443904433,-0.084471696,-0.033725564,,,,,
193,0.04190528777227974,-0.075279762,-0.019761239,,,,,
194,0.04558175617181151,-0.087264862,-0.004262737,,,,,
195,0.051725753423877155,-0.084529315,0.020562531601780804,,,,,
196,0.051725753423877155,-0.084529315,0.020562531601780804,,,,,
197,0.051725753423877155,-0.084529315,0.020562531601780804,,,,,
198,0.08433756683468119,-0.05266262,0.024152374922143068,,,,,
199,0.03844187597486091,-0.003406572,0.025984910360406024,,,,,
200,0.0456633239471022,-0.014526474,0.010108185701092159,,,,,
201,0.020668616420606103,-0.055884157,0.06981402071051569,,,,,
202,0.020668616420606103,-0.055884157,0.06981402071051569,,,,,
203,0.030060735035630004,-0.068329324,0.06615034955112387,,,,,
204,-0.008574793,-0.067839958,0.029065800398486365,,,,,
205,0.010953585713233575,-0.045568599,-0.030772679,,,,,
206,-0.048988961,-0.037986898,0.0319880674530224,,,,,
207,-0.054947935,-0.041298932,0.013953743860322478,,,,,
208,-0.054947935,-0.041298932,0.013953743860322478,,,,,
209,-0.067294232,-0.036468456,0.0727205289774018,,,,,
210,-0.067294232,-0.036468456,0.0727205289774018,,,,,
211,-0.094238639,-0.054423399,0.030005265599808657,,,,,
212,-0.094238639,-0.054423399,0.030005265599808657,,,,,
213,-0.104163246,-0.071305568,0.027160244122527828,,,,,
214,-0.089863895,-0.015479456,0.062219225752263886,,,,,
215,-0.063593693,-0.035649993,0.08407756108741785,,,,,
216,-0.063593693,-0.035649993,0.08407756108741785,,,,,
217,-0.063593693,-0.035649993,0.08407756108741785,,,,,
218,-0.063593693,-0.035649993,0.08407756108741785,,,,,
219,-0.056969148,-0.043733322,0.08117972023520176,,,,,
220,-0.036532283,-0.044308895,0.06702900028163195,,,,,
221,-0.021211641,-0.050989267,0.0821249587951068,,,,,
222,0.0272007088595643,-0.068532662,0.09357477927351629,,,,,
223,0.06345412029260583,-0.047396355,0.09842029923353657,,,,,
224,0.021000267574537636,-0.051473124,0.07937507588408463,,,,,
225,0.004592836668079095,-0.053306477,0.08140806827514063,,,,,
226,0.004592836668079095,-0.053306477,0.08140806827514063,,,,,
227,0.004592836668079095,-0.053306477,0.08140806827514063,,,,,
